period,market,symbol,ticker,raw_signals,accepted_candidates,gap_rejects,stop_rejects,pivot_stops,fallback_stops,cost_bps_side
P2_2024_08_08_2025_08_07,KOSPI,015760,015760.KS,2,2,0,0,2,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,329180,329180.KS,1,1,0,0,1,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,000810,000810.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,033780,033780.KS,2,2,0,0,2,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,086790,086790.KS,2,2,0,0,2,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,352820,352820.KS,2,1,1,0,1,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,009150,009150.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,034730,034730.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,034020,034020.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,018260,018260.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,017670,017670.KS,1,1,0,0,1,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,042660,042660.KS,4,3,1,0,3,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,010130,010130.KS,1,1,0,0,1,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,003490,003490.KS,1,1,0,0,1,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,010950,010950.KS,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,009540,009540.KS,2,2,0,0,2,0,5.0
P2_2024_08_08_2025_08_07,KOSPI,011200,011200.KS,1,1,0,0,1,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,086520,086520.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,028300,028300.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,068760,068760.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,041510,041510.KQ,1,1,0,0,1,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,403870,403870.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,277810,277810.KQ,1,1,0,0,1,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,393890,393890.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,214370,214370.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,328130,328130.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,357780,357780.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,383310,383310.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,005290,005290.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,121600,121600.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,372170,372170.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,095340,095340.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,365340,365340.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,253450,253450.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,122870,122870.KQ,3,3,0,0,3,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,086900,086900.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,000250,000250.KQ,2,2,0,0,2,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,112040,112040.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,440110,440110.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,078600,078600.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,140860,140860.KQ,2,2,0,0,2,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,039200,039200.KQ,1,1,0,0,1,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,009520,009520.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,140410,140410.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,225570,225570.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,281740,281740.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,222800,222800.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,336570,336570.KQ,1,0,1,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,096530,096530.KQ,2,2,0,0,2,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,101490,101490.KQ,2,2,0,0,2,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,420770,420770.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,064550,064550.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,348370,348370.KQ,0,0,0,0,0,0,5.0
P2_2024_08_08_2025_08_07,KOSDAQ,067160,067160.KQ,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,005930,005930.KS,5,3,2,0,3,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,373220,373220.KS,2,0,2,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,000660,000660.KS,6,2,4,0,2,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,207940,207940.KS,1,1,0,0,1,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,005490,005490.KS,2,2,0,0,2,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,051910,051910.KS,1,1,0,0,1,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,006400,006400.KS,2,2,0,0,2,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,005380,005380.KS,2,2,0,0,2,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,035420,035420.KS,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,003670,003670.KS,3,3,0,0,3,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,000270,000270.KS,1,1,0,0,1,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,035720,035720.KS,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,068270,068270.KS,2,2,0,0,2,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,012330,012330.KS,3,3,0,0,3,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,105560,105560.KS,1,1,0,0,1,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,028260,028260.KS,3,3,0,0,3,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,055550,055550.KS,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,096770,096770.KS,1,1,0,0,1,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,066570,066570.KS,2,2,0,0,2,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,047050,047050.KS,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,032830,032830.KS,3,2,1,0,2,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,323410,323410.KS,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,003550,003550.KS,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,015760,015760.KS,1,1,0,0,1,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,329180,329180.KS,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,000810,000810.KS,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,033780,033780.KS,1,1,0,0,1,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,086790,086790.KS,1,0,1,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,352820,352820.KS,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,009150,009150.KS,3,1,2,0,1,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,034730,034730.KS,1,1,0,0,1,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,034020,034020.KS,4,3,1,0,3,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,018260,018260.KS,1,1,0,0,1,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,017670,017670.KS,1,0,1,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,042660,042660.KS,2,2,0,0,2,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,010130,010130.KS,4,4,0,0,4,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,003490,003490.KS,1,1,0,0,1,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,010950,010950.KS,1,1,0,0,1,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,009540,009540.KS,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSPI,011200,011200.KS,0,0,0,0,0,0,5.0
P3_2025_08_08_2026_08_17,KOSDAQ,086520,086520.KQ,1,1,0,0,1,0,5.0
