variant,gate_mode,regime_mode,add_policy,max_hold,candidate_count,5m_1t_pnl,5m_1t_pf,5m_1t_max_dd_pct,5m_1t_trades,5m_1t_wins,5m_1t_losses,5m_1t_rejects,5m_2t_pnl,5m_2t_pf,5m_2t_max_dd_pct,5m_2t_trades,5m_2t_wins,5m_2t_losses,5m_2t_rejects,20m_1t_pnl,20m_1t_pf,20m_1t_max_dd_pct,20m_1t_trades,20m_1t_wins,20m_1t_losses,20m_1t_rejects,train_trades,train_pnl,train_pf,train_winrate,oos2026_trades,oos2026_pnl,oos2026_pf,oos2026_winrate,jul2026_trades,jul2026_pnl,jul2026_pf,jul2026_winrate,top1_positive_share,top3_positive_share,residual_after_top3,min_year_pnl,status,enough_samples,robust_score
PB_WIDE|FAST|DIRECT|H26,PB_WIDE,FAST,DIRECT,26,65,738194.5865000002,4.006902029256644,0.02833554624517176,27,14,13,38,692584.9079999999,3.60540996917634,0.030132421954038868,27,15,12,38,3034068.051000001,3.1213369166795126,0.03147133621899345,32,15,17,33,21,286438.9915000002,2.4351336016437375,0.47619047619047616,6,451755.5950000001,10.84011712153727,0.6666666666666666,0,0.0,,,0.34827482435257245,0.6026029797059956,158399.64899999998,15553.003999999899,SURVIVOR,True,1661895.6623548286
PB_WIDE|STRUCTURAL|DIRECT|H26,PB_WIDE,STRUCTURAL,DIRECT,26,65,560955.3975000002,3.0601796861920576,0.02715973879562039,29,13,16,36,514807.62750000006,2.7374812625732856,0.029932647199473195,29,13,16,36,1915380.702500001,2.2106503518479346,0.03364308059218157,34,14,20,31,23,160195.81250000012,1.8245115709224333,0.43478260869565216,6,400759.5850000001,6.1384094775263245,0.5,0,0.0,,,0.4203916619688115,0.6325234996751601,56772.86250000005,-5090.537499999977,SURVIVOR,True,1216666.69995438
RISK_ONLY|FAST|DIRECT|H26,RISK_ONLY,FAST,DIRECT,26,103,962855.6685000001,2.9940305463737964,0.04133877521467688,46,24,22,57,861590.4294999994,2.633733971441842,0.043096053213793506,46,24,22,57,3604412.8064999986,2.326860652149505,0.056922563044109586,54,27,27,49,34,433931.4910000002,2.3045727308771453,0.47058823529411764,12,528924.1775,4.520396885473056,0.6666666666666666,1,-56083.67500000005,0.0,0.0,0.2530264417743258,0.4895439647684588,314533.28099999984,52168.97500000021,RESEARCH_ONLY,True,2057569.7836853226
RISK_ONLY|FAST|DIRECT|H52,RISK_ONLY,FAST,DIRECT,52,103,901479.8129999996,2.5090019758525908,0.049377733865553775,44,22,22,59,695425.9934999997,2.02985194244393,0.05215353757829744,44,22,22,59,1905936.2749999994,1.5393272890828307,0.05428794815084792,51,23,28,52,33,353118.8004999998,1.8181151088392988,0.45454545454545453,11,548361.0125,4.307833012650581,0.6363636363636364,1,-56083.67500000005,0.0,0.0,0.2445952590799339,0.5602556636662906,133935.52049999963,51350.58050000004,RESEARCH_ONLY,True,1676863.0856594455
RISK_ONLY|COMBINED|DIRECT|H26,RISK_ONLY,COMBINED,DIRECT,26,103,601792.8375000008,2.9765974952224314,0.04062786985562816,31,14,17,72,545495.9474999999,2.646112282409422,0.04369265759532415,31,14,17,72,2204938.74,2.2901306371674117,0.050465262137355915,37,16,21,66,22,91609.53250000061,1.4387950050973513,0.36363636363636365,9,510183.3050000003,6.331975509315952,0.6666666666666666,0,0.0,,,0.396332559312325,0.5938363102918341,99713.64500000048,-128343.00499999989,RESEARCH_ONLY,True,1321413.365019373
PB_WIDE|FAST|DIRECT|H52,PB_WIDE,FAST,DIRECT,52,65,545898.5835000001,2.762617579655567,0.04803390619973591,27,14,13,38,726388.5469999999,3.243460593392543,0.05073764262808789,27,16,11,38,1282695.238000001,1.679977714089005,0.05854151013356945,32,15,17,33,21,22586.891000000003,1.085621446304989,0.47619047619047616,6,523311.6925,12.398748354782182,0.6666666666666666,0,0.0,,,0.39395141155922614,0.6687646130884294,-22948.911500000046,-92029.85150000005,RESEARCH_ONLY,True,1190013.5195002644
RISK_ONLY|STRUCTURAL|DIRECT|H26,RISK_ONLY,STRUCTURAL,DIRECT,26,103,539417.965000001,2.0384202304167,0.04331610778725081,45,19,26,58,444549.235,1.7899792027465697,0.04744583713707573,45,18,27,58,1739956.682500001,1.6306578432683208,0.05070628577854264,51,21,30,52,34,92356.36000000074,1.256079695940792,0.38235294117647056,11,447061.6050000003,3.8151531405443775,0.5454545454545454,0,0.0,,,0.3715267136111128,0.5566690083915425,37338.77250000066,-106280.62249999982,RESEARCH_ONLY,True,1124197.9058377508
PB_WIDE|STRUCTURAL|DIRECT|H52,PB_WIDE,STRUCTURAL,DIRECT,52,65,494669.78000000026,2.5485453709564054,0.03060677414224866,29,13,16,36,667340.925,2.9695400955827984,0.03322042026069938,29,14,15,36,1068377.3775000023,1.5462755222302493,0.04745211504858149,33,13,20,32,23,16975.960000000196,1.0703087784854308,0.43478260869565216,6,477693.82000000007,7.124835297560641,0.5,0,0.0,,,0.4264127213762472,0.7169121642634123,-68709.6974999999,-29043.73749999993,RESEARCH_ONLY,True,1092624.6947327522
RISK_ONLY|STRUCTURAL|DIRECT|H52,RISK_ONLY,STRUCTURAL,DIRECT,52,103,567203.9825000003,1.959399912592381,0.06530824071614605,43,18,25,60,498581.0050000001,1.838869062154759,0.06325667352599151,42,17,25,61,1222098.7200000007,1.3807313502991374,0.07266703951317399,49,19,30,54,34,57082.69250000018,1.1253175683452923,0.38235294117647056,9,510121.29000000015,4.759108530830588,0.5555555555555556,0,0.0,,,0.3225322422551538,0.546827999634523,-919.622499999823,-185579.02750000008,RESEARCH_ONLY,True,1083367.0102838546
RISK_ONLY|COMBINED|DIRECT|H52,RISK_ONLY,COMBINED,DIRECT,52,103,504359.8650000001,2.3261090354243503,0.05792877801274299,29,13,16,74,460530.19749999983,2.1612527825057652,0.05943720218430426,29,13,16,74,1122597.3400000005,1.527402635768335,0.07068865303332095,37,15,22,66,21,-10007.67499999993,0.9636964062718819,0.38095238095238093,8,514367.5400000001,5.914446920719349,0.625,0,0.0,,,0.401734127919772,0.6661983285803778,-51326.87999999989,-199257.79000000015,RESEARCH_ONLY,True,992337.701612257
RISK_ONLY|OFF|DIRECT|H26,RISK_ONLY,OFF,DIRECT,26,103,512790.5490000007,1.467926626768973,0.07300489988365078,81,35,46,22,364080.29099999956,1.327171604574837,0.07217234441902576,81,34,47,22,1911684.8364999988,1.3782579343151302,0.07601087523821992,88,38,50,15,58,220919.41050000064,1.3106582888854879,0.41379310344827586,23,291871.1385000001,1.7586093994620653,0.4782608695652174,5,-166908.97899999993,0.0,0.0,0.2718899622835559,0.5211616021419379,-129519.12349999964,-33770.63949999958,RESEARCH_ONLY,True,973512.6140913496
PB_WIDE|OFF|DIRECT|H26,PB_WIDE,OFF,DIRECT,26,65,454701.8415000007,1.5991904016395884,0.053977514864164355,52,22,30,13,262917.6869999995,1.3360401149844239,0.06914948175911506,52,22,30,13,1685332.8480000037,1.4622192386059305,0.05599906326186932,59,25,34,6,40,176399.96900000045,1.334811000940896,0.425,12,278301.8725000002,2.199597512526508,0.4166666666666667,3,-149149.21499999985,0.0,0.0,0.32379791481175163,0.5695100229572126,-134674.29849999957,-39687.480999999854,RESEARCH_ONLY,True,857111.5774858367
RISK_ONLY|OFF|DIRECT|H52,RISK_ONLY,OFF,DIRECT,52,103,559422.0705,1.491243323578714,0.06930533571062314,77,32,45,26,455343.37499999953,1.3904248379420208,0.07207045750653229,78,31,47,25,191911.02700000023,1.0332449344096113,0.08248803363142998,84,29,55,19,56,211496.75100000016,1.275615924997351,0.39285714285714285,21,347925.31949999987,1.9367241537325948,0.47619047619047616,5,-126716.1779999999,0.0,0.0,0.25470812767994,0.5255075273381152,-155152.72450000013,-130483.90149999986,RESEARCH_ONLY,True,815610.0801393766
PB_TIGHT|OFF|DIRECT|H26,PB_TIGHT,OFF,DIRECT,26,44,214745.50500000047,1.388981662277966,0.05151920652255615,36,14,22,8,165105.01749999996,1.2880368389491568,0.05374493547004455,36,15,21,8,891527.2699999991,1.3590321453917709,0.05355906682781042,40,16,24,4,25,8760.160000000382,1.0266027132115767,0.4,11,205985.3450000001,1.9246328217101638,0.36363636363636365,3,-140931.08999999997,0.0,0.0,0.5222633822248559,0.8250072393301304,-314592.90499999974,-149509.4349999997,RESEARCH_ONLY,True,392585.63881345
RISK_ONLY|FAST|STAGED_CONDITIONAL|H26,RISK_ONLY,FAST,STAGED_CONDITIONAL,26,103,71029.63450000003,2.1291453572767125,0.005844717996986715,28,17,11,75,55991.12899999991,1.7954837805633668,0.006342249045153903,28,16,12,75,799980.0845000001,2.6080897848949562,0.009185713774325976,46,27,19,57,25,75035.28450000004,2.5491224110814406,0.6,3,-4005.6500000000087,0.723144444348449,0.6666666666666666,0,0.0,,,0.2816614862222608,0.6151333580535219,-2477.245499999961,-4005.6500000000087,RESEARCH_ONLY,True,209478.39777801326
RISK_ONLY|FAST|STAGED_CONDITIONAL|H52,RISK_ONLY,FAST,STAGED_CONDITIONAL,52,103,87335.54700000014,1.9696136143090626,0.012124026243279906,28,17,11,75,68398.56650000003,1.6949942629256602,0.013508750173974016,28,17,11,75,674542.649,1.8993645355994309,0.016468128366177393,44,25,19,59,25,92139.47700000014,2.218709242689,0.6,3,-4803.930000000008,0.6679703145653878,0.6666666666666666,0,0.0,,,0.3445500443877572,0.7201043198796856,-27647.270499999897,-4803.930000000008,RESEARCH_ONLY,True,206183.61308172028
RISK_ONLY|OFF|STAGED_CONDITIONAL|H52,RISK_ONLY,OFF,STAGED_CONDITIONAL,52,103,101167.91449999998,1.5715157701551525,0.012147880636484643,49,23,26,54,69142.82399999996,1.3555755848211284,0.013791537281603428,49,23,26,54,370236.6975,1.2593891845858631,0.02133830473105991,72,31,41,31,42,141205.1795,2.10909977249522,0.5,7,-40037.265000000014,0.19444894350717493,0.2857142857142857,2,-14795.530000000028,0.0,0.0,0.25049366955588,0.5402590425419541,-17489.568000000145,-40037.265000000014,RESEARCH_ONLY,True,151151.07683851532
RISK_ONLY|FAST|STAGED_FULL|H26,RISK_ONLY,FAST,STAGED_FULL,26,103,51010.697000000364,1.6139816208599693,0.008162966824251328,28,18,10,75,28877.763999999923,1.2961833310006738,0.01046141313399418,28,16,12,75,641749.0705000008,1.9644906505962072,0.011806353802405467,46,28,18,57,25,55016.34700000037,1.8018306709461298,0.64,3,-4005.6500000000087,0.723144444348449,0.6666666666666666,0,0.0,,,0.28030409370653936,0.6121688866677054,-22496.182999999626,-18989.382999999638,RESEARCH_ONLY,True,148918.24125074924
RISK_ONLY|OFF|STAGED_CONDITIONAL|H26,RISK_ONLY,OFF,STAGED_CONDITIONAL,26,103,77706.55949999992,1.5815556971386509,0.009096454389296293,50,25,25,53,48742.46899999972,1.3214610070270931,0.011156860269090907,50,24,26,53,423933.2855000005,1.368255724915243,0.016946794629445705,78,36,42,25,43,99731.85449999994,2.0084761690202324,0.5116279069767442,7,-22025.295000000027,0.36571886704075984,0.42857142857142855,2,-14795.530000000028,0.0,0.0,0.19568853451313722,0.5311085422028078,-13642.500500000126,-22025.295000000027,RESEARCH_ONLY,True,140116.55853570355
RISK_ONLY|FAST|STAGED_FULL|H52,RISK_ONLY,FAST,STAGED_FULL,52,103,54212.989500000316,1.4274172982491133,0.018392924980814573,28,17,11,75,38578.73450000015,1.2730432522590398,0.020756449299602853,28,17,11,75,510381.1000000004,1.5295837731930346,0.023296654221052093,44,25,19,59,25,59016.919500000324,1.5252009312115278,0.6,3,-4803.930000000008,0.6679703145653878,0.6666666666666666,0,0.0,,,0.3368635019186034,0.7040395637516988,-60769.82799999972,-34590.56299999963,RESEARCH_ONLY,True,122461.40094418598
PB_WIDE|OFF|STAGED_CONDITIONAL|H26,PB_WIDE,OFF,STAGED_CONDITIONAL,26,65,26902.409499999907,1.265883175832003,0.01248774889481108,33,14,19,32,5967.523999999597,1.0520528401847424,0.01471241499766529,33,14,19,32,381145.4769999999,1.4692667873556202,0.021297090173954536,52,23,29,13,29,36309.034499999936,1.4203126045545988,0.41379310344827586,4,-9406.62500000003,0.3642252085596115,0.5,2,-14795.530000000028,0.0,0.0,0.29545116516380154,0.7367105605698343,-49278.560500000094,-19479.5205000001,RESEARCH_ONLY,True,65007.91990518863
PB_TIGHT|OFF|DIRECT|H52,PB_TIGHT,OFF,DIRECT,52,44,-8754.534999999378,0.9856098309257653,0.05669947390572161,37,15,22,7,126106.07749999978,1.210412364749725,0.05917738674418993,33,13,20,11,15871.680000000517,1.0057544181934692,0.06962524628020306,41,16,25,3,24,-186989.23999999947,0.4961305381556029,0.375,13,178234.70500000007,1.7512126856550192,0.46153846153846156,3,-114578.86499999999,0.0,0.0,0.6432539225523336,0.8090853412080851,-430234.6749999996,-250641.0199999995,RESEARCH_ONLY,True,-33020.77843281414
