symbol,name,marcap,yf_ticker,market,effective_date,source_date,rank
373220,LG에너지솔루션,100035000000000.0,373220.KS,KOSPI,2024-01-01,2023-12-28,3
207940,삼성바이오로직스,54092240000000.0,207940.KS,KOSPI,2024-01-01,2023-12-28,4
005380,현대차,43046661471000.0,005380.KS,KOSPI,2024-01-01,2023-12-28,5
005490,POSCO홀딩스,42243329385000.0,005490.KS,KOSPI,2024-01-01,2023-12-28,6
000270,기아,40204420300000.0,000270.KS,KOSPI,2024-01-01,2023-12-28,7
035420,NAVER,36379525056000.0,035420.KS,KOSPI,2024-01-01,2023-12-28,8
051910,LG화학,35225579157000.0,051910.KS,KOSPI,2024-01-01,2023-12-28,9
006400,삼성SDI,32456858160000.0,006400.KS,KOSPI,2024-01-01,2023-12-28,10
068270,셀트리온,29500158155000.0,068270.KS,KOSPI,2024-01-01,2023-12-28,11
003670,포스코퓨처엠,27809295980000.0,003670.KS,KOSPI,2024-01-01,2023-12-28,12
035720,카카오,24149879388000.0,035720.KS,KOSPI,2024-01-01,2023-12-28,13
028260,삼성물산,24034121265000.0,028260.KS,KOSPI,2024-01-01,2023-12-28,14
012330,현대모비스,22196257278000.0,012330.KS,KOSPI,2024-01-01,2023-12-28,15
105560,KB금융,21829948995200.0,105560.KS,KOSPI,2024-01-01,2023-12-28,16
055550,신한지주,20697493188350.0,055550.KS,KOSPI,2024-01-01,2023-12-28,17
066570,LG전자,16659347465200.0,066570.KS,KOSPI,2024-01-01,2023-12-28,18
096770,SK이노베이션,14121975629200.0,096770.KS,KOSPI,2024-01-01,2023-12-28,19
032830,삼성생명,13820000000000.0,032830.KS,KOSPI,2024-01-01,2023-12-28,20
323410,카카오뱅크,13589858404500.0,323410.KS,KOSPI,2024-01-01,2023-12-28,21
003550,LG,13512155298700.0,003550.KS,KOSPI,2024-01-01,2023-12-28,22
011200,HMM,13491393331680.0,011200.KS,KOSPI,2024-01-01,2023-12-28,23
018260,삼성에스디에스,13154226000000.0,018260.KS,KOSPI,2024-01-01,2023-12-28,24
034730,SK,13029302562000.0,034730.KS,KOSPI,2024-01-01,2023-12-28,25
450080,에코프로머티,13003713593000.0,450080.KS,KOSPI,2024-01-01,2023-12-28,26
086790,하나금융지주,12688276353200.0,086790.KS,KOSPI,2024-01-01,2023-12-28,27
000810,삼성화재,12459582131000.0,000810.KS,KOSPI,2024-01-01,2023-12-28,28
015760,한국전력,12133121055300.0,015760.KS,KOSPI,2024-01-01,2023-12-28,29
033780,KT&G,11629174989300.0,033780.KS,KOSPI,2024-01-01,2023-12-28,30
329180,HD현대중공업,11451731964000.0,329180.KS,KOSPI,2024-01-01,2023-12-28,31
009150,삼성전기,11443074227200.0,009150.KS,KOSPI,2024-01-01,2023-12-28,32
047050,포스코인터내셔널,10977581971200.0,047050.KS,KOSPI,2024-01-01,2023-12-28,33
017670,SK텔레콤,10963540514400.0,017670.KS,KOSPI,2024-01-01,2023-12-28,34
010130,고려아연,10412476824000.0,010130.KS,KOSPI,2024-01-01,2023-12-28,35
034020,두산에너빌리티,10184922221400.0,034020.KS,KOSPI,2024-01-01,2023-12-28,36
316140,우리금융지주,9775342993000.0,316140.KS,KOSPI,2024-01-01,2023-12-28,37
352820,하이브,9725764649500.0,352820.KS,KOSPI,2024-01-01,2023-12-28,38
024110,기업은행,9457470806340.0,024110.KS,KOSPI,2024-01-01,2023-12-28,39
259960,크래프톤,9363027044800.0,259960.KS,KOSPI,2024-01-01,2023-12-28,40
005930,삼성전자,468627930175000.0,005930.KS,KOSPI,2025-01-01,2023-12-28,1
000660,SK하이닉스,103012334647500.0,000660.KS,KOSPI,2025-01-01,2023-12-28,2
373220,LG에너지솔루션,100035000000000.0,373220.KS,KOSPI,2025-01-01,2023-12-28,3
207940,삼성바이오로직스,54092240000000.0,207940.KS,KOSPI,2025-01-01,2023-12-28,4
005380,현대차,43046661471000.0,005380.KS,KOSPI,2025-01-01,2023-12-28,5
005490,POSCO홀딩스,42243329385000.0,005490.KS,KOSPI,2025-01-01,2023-12-28,6
000270,기아,40204420300000.0,000270.KS,KOSPI,2025-01-01,2023-12-28,7
035420,NAVER,36379525056000.0,035420.KS,KOSPI,2025-01-01,2023-12-28,8
051910,LG화학,35225579157000.0,051910.KS,KOSPI,2025-01-01,2023-12-28,9
006400,삼성SDI,32456858160000.0,006400.KS,KOSPI,2025-01-01,2023-12-28,10
068270,셀트리온,29500158155000.0,068270.KS,KOSPI,2025-01-01,2023-12-28,11
003670,포스코퓨처엠,27809295980000.0,003670.KS,KOSPI,2025-01-01,2023-12-28,12
035720,카카오,24149879388000.0,035720.KS,KOSPI,2025-01-01,2023-12-28,13
028260,삼성물산,24034121265000.0,028260.KS,KOSPI,2025-01-01,2023-12-28,14
012330,현대모비스,22196257278000.0,012330.KS,KOSPI,2025-01-01,2023-12-28,15
105560,KB금융,21829948995200.0,105560.KS,KOSPI,2025-01-01,2023-12-28,16
055550,신한지주,20697493188350.0,055550.KS,KOSPI,2025-01-01,2023-12-28,17
066570,LG전자,16659347465200.0,066570.KS,KOSPI,2025-01-01,2023-12-28,18
096770,SK이노베이션,14121975629200.0,096770.KS,KOSPI,2025-01-01,2023-12-28,19
032830,삼성생명,13820000000000.0,032830.KS,KOSPI,2025-01-01,2023-12-28,20
323410,카카오뱅크,13589858404500.0,323410.KS,KOSPI,2025-01-01,2023-12-28,21
003550,LG,13512155298700.0,003550.KS,KOSPI,2025-01-01,2023-12-28,22
011200,HMM,13491393331680.0,011200.KS,KOSPI,2025-01-01,2023-12-28,23
018260,삼성에스디에스,13154226000000.0,018260.KS,KOSPI,2025-01-01,2023-12-28,24
034730,SK,13029302562000.0,034730.KS,KOSPI,2025-01-01,2023-12-28,25
450080,에코프로머티,13003713593000.0,450080.KS,KOSPI,2025-01-01,2023-12-28,26
086790,하나금융지주,12688276353200.0,086790.KS,KOSPI,2025-01-01,2023-12-28,27
000810,삼성화재,12459582131000.0,000810.KS,KOSPI,2025-01-01,2023-12-28,28
015760,한국전력,12133121055300.0,015760.KS,KOSPI,2025-01-01,2023-12-28,29
033780,KT&G,11629174989300.0,033780.KS,KOSPI,2025-01-01,2023-12-28,30
329180,HD현대중공업,11451731964000.0,329180.KS,KOSPI,2025-01-01,2023-12-28,31
009150,삼성전기,11443074227200.0,009150.KS,KOSPI,2025-01-01,2023-12-28,32
047050,포스코인터내셔널,10977581971200.0,047050.KS,KOSPI,2025-01-01,2023-12-28,33
017670,SK텔레콤,10963540514400.0,017670.KS,KOSPI,2025-01-01,2023-12-28,34
010130,고려아연,10412476824000.0,010130.KS,KOSPI,2025-01-01,2023-12-28,35
034020,두산에너빌리티,10184922221400.0,034020.KS,KOSPI,2025-01-01,2023-12-28,36
316140,우리금융지주,9775342993000.0,316140.KS,KOSPI,2025-01-01,2023-12-28,37
352820,하이브,9725764649500.0,352820.KS,KOSPI,2025-01-01,2023-12-28,38
024110,기업은행,9457470806340.0,024110.KS,KOSPI,2025-01-01,2023-12-28,39
259960,크래프톤,9363027044800.0,259960.KS,KOSPI,2025-01-01,2023-12-28,40
005930,삼성전자,468627930175000.0,005930.KS,KOSPI,2026-01-01,2023-12-28,1
000660,SK하이닉스,103012334647500.0,000660.KS,KOSPI,2026-01-01,2023-12-28,2
373220,LG에너지솔루션,100035000000000.0,373220.KS,KOSPI,2026-01-01,2023-12-28,3
207940,삼성바이오로직스,54092240000000.0,207940.KS,KOSPI,2026-01-01,2023-12-28,4
005380,현대차,43046661471000.0,005380.KS,KOSPI,2026-01-01,2023-12-28,5
005490,POSCO홀딩스,42243329385000.0,005490.KS,KOSPI,2026-01-01,2023-12-28,6
000270,기아,40204420300000.0,000270.KS,KOSPI,2026-01-01,2023-12-28,7
035420,NAVER,36379525056000.0,035420.KS,KOSPI,2026-01-01,2023-12-28,8
051910,LG화학,35225579157000.0,051910.KS,KOSPI,2026-01-01,2023-12-28,9
006400,삼성SDI,32456858160000.0,006400.KS,KOSPI,2026-01-01,2023-12-28,10
068270,셀트리온,29500158155000.0,068270.KS,KOSPI,2026-01-01,2023-12-28,11
003670,포스코퓨처엠,27809295980000.0,003670.KS,KOSPI,2026-01-01,2023-12-28,12
035720,카카오,24149879388000.0,035720.KS,KOSPI,2026-01-01,2023-12-28,13
028260,삼성물산,24034121265000.0,028260.KS,KOSPI,2026-01-01,2023-12-28,14
