date,equity,state,strategy,cost_bps_side
2010-11-24,10000.0,OFF,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-11-26,9914.240237555583,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-11-29,9776.2335944445,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-11-30,9404.583524240294,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-01,10002.590334075061,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-02,10306.329778165391,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-03,10392.491846563948,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-06,10374.238646120872,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-07,10383.743250397049,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-08,10527.584342137523,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-09,10538.517450108557,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-10,10759.767618684706,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-13,10633.456245208312,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-14,10677.979848369596,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-15,10569.192039602905,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-16,10789.712572445682,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-17,10822.573431902561,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-20,10851.76237755426,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-21,11030.64796147655,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-22,11042.342352032041,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-23,10958.363916358421,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-27,10962.767224055367,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-28,10915.30046374308,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-29,10980.291667844267,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-30,10897.774261795787,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-31,10797.733291037603,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-03,11285.492141559736,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-04,11267.966818691639,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-05,11547.623009105488,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-06,11652.037398867924,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-07,11625.009229882044,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-10,11755.723031976186,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-11,11809.753876651237,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-12,12049.25988290805,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-13,12087.222918023359,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-14,12349.354664648306,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-18,12447.909112484644,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-19,12031.006682464977,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-20,11760.824328555418,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-21,11492.134651122084,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-24,11966.738960542785,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-25,12008.351932483349,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-26,12194.553213481697,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-27,12429.658549279158,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-28,11492.134651122084,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-31,11662.272517956671,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-01,12309.902469373563,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-02,12254.415869548553,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-03,12301.886146177629,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-04,12523.866829566348,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-07,12705.667440105344,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-08,12976.574155273096,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-09,12897.702290653888,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-10,12960.508982950942,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-11,13226.284512846767,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-14,13309.532433707818,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-15,13275.214940021784,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-16,13520.549241353614,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-17,13508.859246194106,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-18,13432.200902992528,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-22,12249.312814810932,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-23,11947.028246791362,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-24,12117.140620329243,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-25,12636.301937920709,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-28,12728.294059552676,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-01,12116.410105516674,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-02,12287.274970847046,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-03,13020.372518096994,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-04,12827.608031815078,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-07,12316.494684270634,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-08,12444.994964947145,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-09,12193.825335906728,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-10,11635.969589308188,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-11,11830.194226136045,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-14,11714.844970244181,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-15,11235.83295773055,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-16,10410.745047007029,LEVER,TQQQ|SIG_BASE|BAND_0|OFF_BASE,10.0
