date,equity,state,strategy,cost_bps_side
2010-12-22,10000.0,OFF,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-23,9951.408983237226,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-27,9981.261632490265,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-28,9853.891371943488,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-29,9893.688907416967,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-30,9981.261632490265,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2010-12-31,9949.424542751049,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-03,10172.324845306826,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-04,10206.169841521414,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-05,10305.682061896647,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-06,10876.888824259438,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-07,10948.53909346493,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-10,11292.86806810355,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-11,11418.25388816415,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-12,12059.113964052016,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-13,12055.140389881823,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-14,13040.327093809392,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-18,12887.08323357725,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-19,11989.459086127663,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-20,11553.590852042309,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-21,11354.556242696524,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-24,12174.556462291455,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-25,11919.805772602584,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-26,12250.181870066419,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-27,12926.884680048926,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-28,11879.99102873703,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-01-31,12015.338943410145,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-01,12885.089406695393,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-02,13104.018481679897,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-03,13117.944764066928,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-04,13894.159012225029,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-07,13750.863167011887,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-08,13719.013562078435,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-09,13458.293906938236,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-10,13573.729365380916,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-11,13884.20943280675,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-14,14200.667069879952,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-15,13794.647574049439,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-16,14230.518936933351,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-17,14857.459770230944,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-18,14686.291023053102,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-22,12936.831912868287,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-23,12242.227681929273,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-24,12847.265360913136,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-25,13818.532822250429,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-02-28,13400.57539551726,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-01,12600.482938954927,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-02,13137.859566896286,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-03,13900.128759876001,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-04,13462.267481108433,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-07,12347.711214354755,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-08,12413.390171509998,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-09,11306.788875093105,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
2011-03-10,10450.976427189486,LEVER,SOXL|SIG_BASE|BAND_0|OFF_BASE,10.0
